what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325474841588
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1325474841588
java.specification.name,sysinfo,,,"Java Platform API Specification",1325474841588
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325474841588
java.specification.version,sysinfo,,,"1.6",1325474841588
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1325474841588
java.version,sysinfo,,,"1.6.0_25",1325474841588
java.vm.info,sysinfo,,,"mixed mode",1325474841588
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1325474841588
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325474841588
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325474841588
java.vm.specification.version,sysinfo,,,"1.0",1325474841588
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1325474841588
java.vm.version,sysinfo,,,"20.0-b11",1325474841588
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1325474842462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325474881245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475596416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475600126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475621779
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1325475624146
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1325475624149
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1325475624151
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325475624224
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325475624277
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1325475625576
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1325475625577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325475631898
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325475634873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325475641361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325475642403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325475643900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325475645002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325475646188
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1325475648723
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1325475649126
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1325475649309
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325475650248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475651198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475746831
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1325475753000
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.DeviceView",1325475753114
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1325475753372
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.ThreadView",1325475753426
activated,perspective,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.Perspective",1325475753487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1325475753511
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1325475753511
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.FileExplorerView",1325475760235
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.FileExplorerView",1325475760257
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.DeviceView",1325475789520
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.FileExplorerView",1325475793283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475812872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475814153
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325475814334
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1325475814680
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1325475814682
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1325475814683
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1325475814684
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1325475814684
