what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326425720531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425721703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425827312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425833562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425856171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425858578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425858578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425858703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326425976312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426140500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426140500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426140625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426168421
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1326426168453
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1326426174312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426176406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426257703
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326426538203
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326426789234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326426802968
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326426813656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426854984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426976921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426977781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426981453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326426997531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427140609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427141968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427142390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326427146187
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1326427147687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427148953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326427148968
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326427150578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427161281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427171890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427179468
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1326427198609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1326427199187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1326427199828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326427201656
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1326427206375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427215875
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427216125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427216828
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217328
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217390
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217421
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217453
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217500
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217625
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217656
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326427217687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1326427218125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1326427218468
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1326427218953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427221625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427228640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427232156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427248171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427253312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326427257703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427311093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427323921
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326427342265
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326427343937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427352546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427357312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427359937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326427413015
